Date,Consumption [kWh],Grid Organi lbc (L1) [kWh],Grid Organi lbc (L2) [kWh],Grid Organi lbc (L3) [kWh],Chargers (L1) [kWh],Chargers (L2) [kWh],Chargers (L3) [kWh],Solar (L1) [kWh],Solar (L2) [kWh],Solar (L3) [kWh],Chargers achteraan (L1) [kWh],Chargers achteraan (L2) [kWh],Chargers achteraan (L3) [kWh]
2025-03-02 02:00:00,"16,854","6,233","5,684","4,945","0,036","0,034","0,019",0,"-0,006","-0,001","0,024","0,024","0,021"
2025-03-02 01:00:00,"16,923","6,305","5,699","4,926","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,02"
2025-03-02 00:00:00,"17,111","6,302","5,791","5,024","0,037","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-01 23:00:00,"17,017","6,311","5,732","4,982","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-01 22:00:00,"16,971","6,233","5,755","4,99","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-01 21:00:00,"17,038","6,384","5,686","4,975","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-01 20:00:00,"16,588","5,926","5,706","4,963","0,036","0,034","0,019",0,"-0,006","-0,001","0,025","0,023","0,02"
2025-03-01 19:00:00,"16,447","5,804","5,694","4,956","0,036","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-03-01 18:00:00,"16,479","5,839","5,649","4,927","0,037","0,033","0,019","0,022","0,018","0,024","0,025","0,023","0,021"
2025-03-01 17:00:00,"16,058","4,959","5,24","4,502","0,037","0,033","0,02","0,45","0,453","0,455","0,025","0,023","0,021"
2025-03-01 16:00:00,"16,106","4,026","4,386","3,665","0,037","0,033","0,019","1,336","1,353","1,342","0,024","0,023","0,021"
2025-03-01 15:00:00,"16,17","3,152","3,586","2,85","0,037","0,034","0,019","2,18","2,211","2,191","0,023","0,023","0,021"
2025-03-01 14:00:00,"16,255","1,666","1,902","1,162","0,036","0,034","0,02","3,816","3,871","3,839","0,022","0,023","0,021"
2025-03-01 13:00:00,"16,41","-0,102","0,15","-0,551","0,036","0,034","0,02","5,598","5,68","5,635","0,02","0,023","0,022"
2025-03-01 12:00:00,"16,604","2,811","2,874","2,215","0,036","0,034","0,02","2,882","2,923","2,899","0,023","0,023","0,022"
2025-03-01 11:00:00,"16,554","4,005","4,072","3,39","0,037","0,033","0,02","1,685","1,709","1,694","0,024","0,023","0,022"
2025-03-01 10:00:00,"16,851","4,228","3,942","3,254","0,036","0,034","0,019","1,797","1,823","1,808","0,023","0,023","0,022"
2025-03-01 09:00:00,"17,031","5,153","4,703","3,999","0,036","0,034","0,02","1,052","1,066","1,058","0,024","0,023","0,022"
2025-03-01 08:00:00,"17,044","5,685","5,216","4,516","0,036","0,034","0,019","0,539","0,544","0,544","0,025","0,023","0,021"
2025-03-01 07:00:00,17,"6,189","5,672","4,957","0,036","0,033","0,02","0,061","0,058","0,064","0,025","0,023","0,022"
2025-03-01 06:00:00,"17,53","6,708","5,768","5,061","0,036","0,033","0,021",0,"-0,006","-0,001","0,025","0,023","0,022"
